variable,group,value
1759,nleB1,1
1759,nleC,1
1759,nleE,1
1759,nleF,1
1759,nleG7',1
1759,nleH2,1
1759,ompA,1
1759,paa,1
1759,rcsB,1
1759,sepD,1
1759,sepL,1
1759,sepQ/escQ,1
1759,sepZ/espZ,1
1759,stxA,1
1759,stxB,1
1759,waaF,1
1759,yagV/ecpE,1
1759,yagW/ecpD,1
1759,yagX/ecpC,1
1759,yagY/ecpB,1
1759,yagZ/ecpA,1
1759,ykgK/ecpR,1
1759,algA,0
1759,espY1,0
1759,fyuA,0
1759,gnd,0
1759,gtrB,0
1759,iroB,0
1759,iroC,0
1759,iroD,0
1759,iroE,0
1759,iroN,0
1759,irp1,0
1759,irp2,0
1759,ybtA,0
1759,ybtE,0
1759,ybtP,0
1759,ybtQ,0
1759,ybtS,0
1759,ybtT,0
1759,ybtU,0
1759,ybtX,0
1759,chuA,0
1759,chuS,0
1759,chuT,0
1759,chuU,0
1759,chuV,0
1759,chuW,0
1759,chuX,0
1759,chuY,0
1759,clbA,0
1759,clbB,0
1759,clbC,0
1759,clbD,0
1759,clbE,0
1759,clbF,0
1759,clbG,0
1759,clbH,0
1759,clbI,0
1759,clbJ,0
1759,clbK,0
1759,clbL,0
1759,clbM,0
1759,clbN,0
1759,clbO,0
1759,clbP,0
1759,clbQ,0
1759,clbS,0
1759,clpV/tssH,0
1759,galF,0
1759,kpsD,0
1759,kpsM,0
1759,kpsT,0
1759,papA,0
1759,papB,0
1759,papC,0
1759,papD,0
1759,papE,0
1759,papF,0
1759,papG,0
1759,papH,0
1759,papI,0
1759,papJ,0
1759,papK,0
1759,papX,0
1759,tcpC,0
1759,vat,0
1759,vgrG/tssI,0
1759,vipB/tssC,0
1759,ADP,0
1759,cesF,0
1759,clpB,0
1759,espH,0
1759,espJ,0
1759,espM2,0
1759,espR3,0
1759,espR4,0
1759,espW,0
1759,espX2,0
1759,espX6,0
1759,espY2,0
1759,espY3,0
1759,espY4,0
1759,nleB2,0
1759,nleD,0
1759,nleH1,0
1759,sat,0
1759,shuA,0
1759,shuS,0
1759,shuT,0
1759,shuU,0
1759,shuV,0
1759,shuX,0
1759,shuY,0
1759,stcE,0
1759,stx1A,0
1759,stx2A,0
1759,stx2B,0
1759,tir,0
1759,toxB,0
1759,manB,0
1759,manC,0
1036,acrA,1
1036,acrB,1
1036,allB,1
1036,aslA,1
1036,cesAB,1
1036,cesD,1
1036,cesD2,1
1036,cesL,1
1036,cesT,1
1036,csgB,1
1036,eae,1
1036,east1,1
1036,efa1,1
1036,entB,1
1036,entC,1
1036,entD,1
1036,entE,1
1036,entF,1
1036,entS,1
1036,escC,1
1036,escD,1
1036,escE,1
1036,escF,1
1036,escG,1
1036,escI,1
1036,escJ,1
1036,escL,1
1036,escN,1
1036,escO,1
1036,escR,1
1036,escS,1
1036,escT,1
1036,escU,1
1036,escV,1
1036,espA,1
1036,espB,1
1036,espD,1
1036,espF,1
1036,espFu/tccP,1
1036,espG,1
1036,espK,1
1036,espL1,1
1036,espL2,1
1036,espL4,1
1036,espM1,1
1036,espN,1
1036,espP,1
1036,espR1,1
1036,espX1,1
1036,espX4,1
1036,espX5,1
1036,espX7/nleL,1
1036,etgA,1
1036,fdeC,1
1036,fepA,1
1036,fepB,1
1036,fepC,1
1036,fepD,1
1036,fepG,1
1036,fes,1
1036,fimA,1
1036,fimB,1
1036,fimC,1
1036,fimD,1
1036,fimE,1
1036,fimF,1
1036,fimG,1
1036,fimH,1
1036,fimI,1
1036,flhA,1
1036,gspC,1
1036,gspD,1
1036,gspE,1
1036,gspF,1
1036,gspG,1
1036,gspH,1
1036,gspI,1
1036,gspJ,1
1036,gspK,1
1036,gspL,1
1036,gspM,1
1036,hlyA,1
1036,hlyB,1
1036,hlyC,1
1036,hlyD,1
1036,iucA,1
1036,iucB,1
1036,iucC,1
1036,iucD,1
1036,iutA,1
1036,map,1
1036,nleA/espI,1
1036,nleB1,1
1036,nleC,1
1036,nleE,1
1036,nleF,1
1036,nleG7',1
1036,nleH2,1
1036,ompA,1
1036,paa,1
1036,rcsB,1
1036,sepD,1
1036,sepL,1
1036,sepQ/escQ,1
1036,sepZ/espZ,1
1036,stxA,1
1036,stxB,1
1036,waaF,1
1036,yagV/ecpE,1
1036,yagW/ecpD,1
1036,yagX/ecpC,1
1036,yagY/ecpB,1
1036,yagZ/ecpA,1
1036,ykgK/ecpR,1
1036,algA,0
1036,espY1,0
1036,fyuA,0
1036,gnd,0
1036,gtrB,0
1036,iroB,0
1036,iroC,0
1036,iroD,0
1036,iroE,0
1036,iroN,0
1036,irp1,0
1036,irp2,0
1036,ybtA,0
1036,ybtE,0
1036,ybtP,0
1036,ybtQ,0
1036,ybtS,0
1036,ybtT,0
1036,ybtU,0
1036,ybtX,0
1036,chuA,0
1036,chuS,0
1036,chuT,0
1036,chuU,0
1036,chuV,0
1036,chuW,0
1036,chuX,0
1036,chuY,0
1036,clbA,0
1036,clbB,0
1036,clbC,0
1036,clbD,0
1036,clbE,0
1036,clbF,0
1036,clbG,0
1036,clbH,0
1036,clbI,0
1036,clbJ,0
1036,clbK,0
1036,clbL,0
1036,clbM,0
1036,clbN,0
1036,clbO,0
1036,clbP,0
1036,clbQ,0
1036,clbS,0
1036,clpV/tssH,0
1036,galF,0
1036,kpsD,0
1036,kpsM,0
1036,kpsT,0
1036,papA,0
1036,papB,0
1036,papC,0
1036,papD,0
1036,papE,0
1036,papF,0
1036,papG,0
1036,papH,0
1036,papI,0
1036,papJ,0
1036,papK,0
1036,papX,0
1036,tcpC,0
1036,vat,0
1036,vgrG/tssI,0
1036,vipB/tssC,0
1036,ADP,0
1036,cesF,0
1036,clpB,0
1036,espH,0
1036,espJ,0
1036,espM2,0
1036,espR3,0
1036,espR4,0
1036,espW,0
1036,espX2,0
1036,espX6,0
1036,espY2,0
1036,espY3,0
1036,espY4,0
1036,nleB2,0
1036,nleD,0
1036,nleH1,0
1036,sat,0
1036,shuA,0
1036,shuS,0
1036,shuT,0
1036,shuU,0
1036,shuV,0
1036,shuX,0
1036,shuY,0
1036,stcE,0
1036,stx1A,0
1036,stx2A,0
1036,stx2B,0
1036,tir,0
1036,toxB,0
1036,manB,0
1036,manC,0
1751,acrA,1
1751,acrB,1
1751,allB,1
1751,aslA,1
1751,cesAB,1
1751,cesD,1
1751,cesD2,1
1751,cesL,1
1751,cesT,1
1751,csgB,1
1751,eae,1
1751,east1,1
1751,efa1,1
1751,entB,1
1751,entC,1
1751,entD,1
1751,entE,1
1751,entF,1
1751,entS,1
1751,escC,1
1751,escD,1
1751,escE,1
1751,escF,1
1751,escG,1
1751,escI,1
1751,escJ,1
1751,escL,1
1751,escN,1
1751,escO,1
1751,escR,1
1751,escS,1
1751,escT,1
1751,escU,1
1751,escV,1
1751,espA,1
1751,espB,1
1751,espD,1
1751,espF,1
1751,espFu/tccP,1
1751,espG,1
1751,espK,1
1751,espL1,1
1751,espL2,1
1751,espL4,1
1751,espM1,1
1751,espN,1
1751,espP,1
1751,espR1,1
1751,espX1,1
1751,espX4,1
1751,espX5,1
1751,espX7/nleL,1
1751,etgA,1
1751,fdeC,1
1751,fepA,1
1751,fepB,1
1751,fepC,1
1751,fepD,1
1751,fepG,1
1751,fes,1
1751,fimA,1
1751,fimB,1
1751,fimC,1
1751,fimD,1
1751,fimE,1
1751,fimF,1
1751,fimG,1
1751,fimH,1
1751,fimI,1
1751,flhA,1
1751,gspC,1
1751,gspD,1
1751,gspE,1
1751,gspF,1
1751,gspG,1
1751,gspH,1
1751,gspI,1
1751,gspJ,1
1751,gspK,1
1751,gspL,1
1751,gspM,1
1751,hlyA,1
1751,hlyB,1
1751,hlyC,1
1751,hlyD,1
1751,iucA,1
1751,iucB,1
1751,iucC,1
1751,iucD,1
1751,iutA,1
1751,map,1
1751,nleA/espI,1
1751,nleB1,1
1751,nleC,1
1751,nleE,1
1751,nleF,1
1751,nleG7',1
1751,nleH2,1
1751,ompA,1
1751,paa,1
1751,rcsB,1
1751,sepD,1
1751,sepL,1
1751,sepQ/escQ,1
1751,sepZ/espZ,1
1751,stxA,1
1751,stxB,1
1751,waaF,1
1751,yagV/ecpE,1
1751,yagW/ecpD,1
1751,yagX/ecpC,1
1751,yagY/ecpB,1
1751,yagZ/ecpA,1
1751,ykgK/ecpR,1
1751,algA,0
1751,espY1,0
1751,fyuA,0
1751,gnd,0
1751,gtrB,0
1751,iroB,0
1751,iroC,0
1751,iroD,0
1751,iroE,0
1751,iroN,0
1751,irp1,0
1751,irp2,0
1751,ybtA,0
1751,ybtE,0
1751,ybtP,0
1751,ybtQ,0
1751,ybtS,0
1751,ybtT,0
1751,ybtU,0
1751,ybtX,0
1751,chuA,0
1751,chuS,0
1751,chuT,0
1751,chuU,0
1751,chuV,0
1751,chuW,0
1751,chuX,0
1751,chuY,0
1751,clbA,0
1751,clbB,0
1751,clbC,0
1751,clbD,0
1751,clbE,0
1751,clbF,0
1751,clbG,0
1751,clbH,0
1751,clbI,0
1751,clbJ,0
1751,clbK,0
1751,clbL,0
1751,clbM,0
1751,clbN,0
1751,clbO,0
1751,clbP,0
1751,clbQ,0
1751,clbS,0
1751,clpV/tssH,0
1751,galF,0
1751,kpsD,0
1751,kpsM,0
1751,kpsT,0
1751,papA,0
1751,papB,0
1751,papC,0
1751,papD,0
1751,papE,0
1751,papF,0
